tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0283775	tvMiniSeries	The Planets	The Planets	0	1999	1999	49	Documentary
tt12942420	tvMiniSeries	Rebel Spirits	Segnati da Dio	0	2017	2017	45	Biography
tt0115091	tvSeries	All Rise for Julian Clary	All Rise for Julian Clary	0	1996	1997	\N	Comedy,Reality-TV
tt15806820	tvMiniSeries	35 años de los Premios Canarias	35 años de los Premios Canarias	0	2021	2021	70	Documentary
tt9064792	tvSeries	Boomerang	Boomerang	0	2019	2020	30	Comedy,Drama,Romance
tt13577056	tvMiniSeries	The Tony Heisman Project	The Tony Heisman Project	0	2019	2019	\N	Music
tt5923300	tvSeries	Gewoon Normaal	Gewoon Normaal	0	2016	2016	\N	Comedy
tt29571784	tvSeries	Finland in Focus	Finland in Focus	0	1982	1982	21	Documentary
tt6970690	tvSeries	Giants	Gigantes	0	2018	2019	50	Crime,Drama
tt10132918	tvSeries	Mighty Mike	Mighty Mike	0	2019	2020	7	Adventure,Animation,Comedy
tt12237136	tvSeries	Rising Tides	Rising Tides	0	2020	2020	\N	Documentary
tt11912316	tvSeries	Farm to Fork	Farm to Fork	0	2019	2023	22	Reality-TV
tt10474914	tvSeries	Never Say Goodbye	Never Say Goodbye	0	2019	2019	42	Crime,Documentary
tt16950226	tvSeries	1760 Sasumaa	1760 Sasumaa	0	2014	2016	\N	Comedy
tt3877794	tvSeries	The Go!! Show	The Go!! Show	0	1964	1967	60	Music
tt0441714	tvSeries	Alpha Centauri	Alpha Centauri	0	1998	2007	15	Documentary
tt0285408	tvSeries	To Tell the Truth	To Tell the Truth	0	1990	1991	30	Game-Show
tt10978670	tvMiniSeries	Dopamine	Dopamine	0	2019	2020	\N	Documentary
tt0969662	tvSeries	Difference of Opinion	Difference of Opinion	0	2007	2007	60	Talk-Show
tt0279570	tvSeries	Love Hina	Rabu Hina	0	2000	2001	544	Animation,Comedy,Drama
tt3703970	tvSeries	From the Mouths of Babes	From the Mouths of Babes	0	2012	2019	\N	Documentary
tt8884460	tvSeries	My Only One	Hanappunin Naepyeon	0	2018	2019	\N	Comedy,Drama,Romance
tt5432842	tvSeries	Stationen	Stationen	0	2016	2016	42	Drama
tt1075233	tvSeries	Moving Wallpaper	Moving Wallpaper	0	2008	2009	30	Comedy,Drama
